dataset,condition,animal,session,layout,base_dir,data_dir,n_hc_channels,n_ms_tetrodes,n_samples,duration_sec,duration_min,signal_source,status,message
anast_mouse_data_msmodtSC,control,20170216,23,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23,1,1,2020860,2020.86,33.681,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23/20170216_23_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,20171207,12,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12,1,1,1809180,1809.18,30.153,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12/20171207_12_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,201801082,3,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3,1,1,932112,932.112,15.5352,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3/201801082_3_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,201801101,34,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34,1,1,1802736,1802.736,30.0456,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34/201801101_34_radiatum.mat,ok,
anast_mouse_data_msmodtSC,control,201801122,12,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12,1,1,1800792,1800.792,30.0132,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12/201801122_12_radiatum.mat,ok,
anast_rat_data_msmodtSC,control,20100304,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1/raw,32,2,2144000,2144,35.7333333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1/raw/201003041_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,201003171,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1/raw,32,3,2938000,2938,48.9666666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1/raw/201003171_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,201003171,2,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2/raw,32,3,1963000,1963,32.7166666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2/raw/201003172_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100329,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1/raw,32,4,2274000,2274,37.9,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1/raw/201003291_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100329,2,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2/raw,32,4,1770000,1770,29.5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2/raw/201003292_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100329,4,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/4,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/4/raw,32,3,1983000,1983,33.05,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/4/raw/201003294_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100602,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/1/raw,32,4,1825000,1825,30.4166666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/1/raw/201006021_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100602,7,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7/raw,32,3,1035000,1035,17.25,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/7/raw/201006027_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100602,8,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8/raw,32,4,899000,899,14.9833333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100602/8/raw/201006028_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100616,1,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1/raw,32,4,1774000,1774,29.5666666666667,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/1/raw/201006161_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100616,2,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2/raw,32,4,2081000,2081,34.6833333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/2/raw/201006162_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,20100616,5,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5/raw,32,4,1131000,1131,18.85,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100616/5/raw/201006165_1.eeg.1.mat,ok,
anast_rat_data_msmodtSC,control,201007286,6,raw,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6/raw,32,3,1230000,1230,20.5,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201007286/6/raw/201007286_1.eeg.1.mat,ok,
awake_mouse,control,20161695,1824,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824,1,3,803300,803.3,13.3883333333333,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/1824/201616951824_1.eeg.27.mat,ok,
awake_mouse,control,20161695,3135,session_root,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135,1,4,869400,869.4,14.49,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/awake_mouse/20161695/3135/201616953135_1.eeg.27.mat,ok,
