dataset,animal,n_sessions,n_hc_channels,hc_channel_ids,n_ms_tetrodes,ms_tetrode_ids,hc_subregions,ms_subregions
anast_mouse_data_msmodtSC,20170216,1,1,"1",1,"1",radiatum,unknown
anast_mouse_data_msmodtSC,20171207,1,1,"1",1,"1",radiatum,unknown
anast_mouse_data_msmodtSC,201801082,1,1,"1",1,"1",radiatum,unknown
anast_mouse_data_msmodtSC,201801101,1,1,"1",1,"1",radiatum,unknown
anast_mouse_data_msmodtSC,201801122,1,1,"1",1,"1",radiatum,unknown
anast_rat_data_msmodtSC,20100304,1,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",2,"1,4",unknown,unknown
anast_rat_data_msmodtSC,201003171,2,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",3,"2,3,4",unknown,unknown
anast_rat_data_msmodtSC,20100329,3,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",unknown,unknown
anast_rat_data_msmodtSC,20100602,3,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",unknown,unknown
anast_rat_data_msmodtSC,20100616,3,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",unknown,unknown
anast_rat_data_msmodtSC,201007286,1,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",3,"1,3,4",unknown,unknown
awake_mouse,20161695,2,1,"27",4,"1,2,3,4",unknown,unknown
awake_mouse,20161750,5,2,"15,17",4,"1,2,3,4",unknown,unknown
awake_mouse,20161865,3,1,"31",4,"1,2,3,4",unknown,unknown
awake_mouse,20161869,2,1,"32",3,"1,2,3",unknown,unknown
awake_mouse,20161988,5,1,"12",4,"1,2,3,4",unknown,unknown
awake_mouse,20161989,14,2,"3,10",3,"1,2,3",unknown,unknown
