dataset,condition,root_path,animal,session,base_dir,data_dir,layout,n_hc_channels,hc_channel_ids,n_ms_tetrodes,ms_tetrode_ids,n_tt_units,hc_subregions,ms_subregions
anast_mouse_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC,20170216,23,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20170216/23,session_root,1,"1",1,"1",20,radiatum,unknown
anast_mouse_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC,20171207,12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/20171207/12,session_root,1,"1",1,"1",43,radiatum,unknown
anast_mouse_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC,201801082,3,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801082/3,session_root,1,"1",1,"1",46,radiatum,unknown
anast_mouse_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC,201801101,34,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801101/34,session_root,1,"1",1,"1",58,radiatum,unknown
anast_mouse_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC,201801122,12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_mouse_data_msmodtSC/201801122/12,session_root,1,"1",1,"1",89,radiatum,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100304,1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100304/1/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",2,"1,4",8,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,201003171,1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/1/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",3,"2,3,4",10,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,201003171,2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/201003171/2/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",3,"2,3,4",11,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100329,1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/1/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",15,unknown,unknown
anast_rat_data_msmodtSC,control,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC,20100329,2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2,/Volumes/T7_Taka/Minnesota/MSHC/Data_VargaV/23798184/anast_rat_data_msmodtSC/20100329/2/raw,raw,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",4,"1,2,3,4",14,unknown,unknown
